"year","SASAP.Region","species","p_conf","sector","source_report","harvest"
1976,"Kuskokwim","pink",NA,"Commercial","Report",39998
1976,"Kuskokwim","sockeye",NA,"Commercial","Report",14636
1976,"Norton Sound","chinook",NA,"Commercial","Report",2243
1976,"Norton Sound","chum",NA,"Commercial","Report",95956
1976,"Norton Sound","coho",NA,"Commercial","Report",6934
1976,"Norton Sound","pink",NA,"Commercial","Report",87916
1976,"Norton Sound","sockeye",NA,"Commercial","Report",11
1976,"Prince William Sound","chinook",0,"Commercial",NA,635
1976,"Prince William Sound","chum",0,"Commercial",NA,370478
1976,"Prince William Sound","coho",0,"Commercial",NA,6051
1976,"Prince William Sound","pink",0,"Commercial",NA,3018991
1976,"Prince William Sound","sockeye",0,"Commercial",NA,112809
1976,"Southeast","chinook",0,"Commercial",NA,239829
1976,"Southeast","chum",0,"Commercial",NA,1025884
1976,"Southeast","coho",0,"Commercial",NA,818583
1976,"Southeast","pink",0,"Commercial",NA,4886892
1976,"Southeast","sockeye",0,"Commercial",NA,588224
1976,"Yukon","chinook",0,"Commercial",NA,74585
1976,"Yukon","chum",0,"Commercial",NA,659167
1976,"Yukon","coho",0,"Commercial",NA,4772
1976,"Yukon","pink",0,"Commercial",NA,0
1977,"Alaska Peninsula and Aleutian Islands","chinook",NA,"Commercial","Report",6048
1977,"Alaska Peninsula and Aleutian Islands","chum",NA,"Commercial","Report",372335
1977,"Alaska Peninsula and Aleutian Islands","coho",NA,"Commercial","Report",36245
1977,"Alaska Peninsula and Aleutian Islands","pink",NA,"Commercial","Report",1449536
1977,"Alaska Peninsula and Aleutian Islands","sockeye",NA,"Commercial","Report",783728
1977,"Bristol Bay","chinook",0,"Commercial",NA,130105
1977,"Bristol Bay","chum",0,"Commercial",NA,1592886
1977,"Bristol Bay","coho",0,"Commercial",NA,106309
1977,"Bristol Bay","pink",0,"Commercial",NA,4511
1977,"Bristol Bay","sockeye",0,"Commercial",NA,4853882
1977,"Chignik","chinook",0,"Commercial",NA,704
1977,"Chignik","chum",0,"Commercial",NA,110452
1977,"Chignik","coho",0,"Commercial",NA,17430
1977,"Chignik","pink",0,"Commercial",NA,604806
1977,"Chignik","sockeye",0,"Commercial",NA,1972207
1977,"Cook Inlet","chinook",0,"Commercial",NA,14982
1977,"Cook Inlet","chum",0,"Commercial",NA,1374065
1977,"Cook Inlet","coho",0,"Commercial",NA,194584
1977,"Cook Inlet","pink",0,"Commercial",NA,1838338
1977,"Cook Inlet","sockeye",0,"Commercial",NA,2146240
1977,"Copper River","chinook",NA,"Commercial","Report",21849
1977,"Copper River","chum",NA,"Commercial","Report",556
1977,"Copper River","coho",NA,"Commercial","Report",178574
1977,"Copper River","pink",NA,"Commercial","Report",23377
1977,"Copper River","sockeye",NA,"Commercial","Report",617182
1977,"Kodiak","chinook",NA,"Commercial","Report",585
1977,"Kodiak","chum",NA,"Commercial","Report",1072313
1977,"Kodiak","coho",NA,"Commercial","Report",27920
1977,"Kodiak","pink",NA,"Commercial","Report",6252405
1977,"Kodiak","sockeye",NA,"Commercial","Report",623468
1977,"Kotzebue","chinook",0,"Commercial",NA,10
1977,"Kotzebue","chum",NA,"Commercial","Report",195895
1977,"Kotzebue","pink",0,"Commercial",NA,11
1977,"Kuskokwim","chinook",NA,"Commercial","Report",58256
1977,"Kuskokwim","chum",NA,"Commercial","Report",298959
1977,"Kuskokwim","coho",NA,"Commercial","Report",263727
1977,"Kuskokwim","pink",NA,"Commercial","Report",434
1977,"Kuskokwim","sockeye",NA,"Commercial","Report",18621
1977,"Norton Sound","chinook",NA,"Commercial","Report",4500
1977,"Norton Sound","chum",NA,"Commercial","Report",200455
1977,"Norton Sound","coho",NA,"Commercial","Report",3690
1977,"Norton Sound","pink",NA,"Commercial","Report",48675
1977,"Norton Sound","sockeye",NA,"Commercial","Report",5
1977,"Prince William Sound","chinook",0,"Commercial",NA,648
1977,"Prince William Sound","chum",0,"Commercial",NA,572610
1977,"Prince William Sound","coho",0,"Commercial",NA,833
1977,"Prince William Sound","pink",0,"Commercial",NA,4512316
1977,"Prince William Sound","sockeye",0,"Commercial",NA,310346
1977,"Southeast","chinook",0,"Commercial",NA,283013
1977,"Southeast","chum",0,"Commercial",NA,727891
1977,"Southeast","coho",0,"Commercial",NA,908508
1977,"Southeast","pink",0,"Commercial",NA,13437937
1977,"Southeast","sockeye",0,"Commercial",NA,1069871
1977,"Yukon","chinook",0,"Commercial",NA,95639
1977,"Yukon","chum",0,"Commercial",NA,780577
1977,"Yukon","coho",0,"Commercial",NA,38205
1978,"Alaska Peninsula and Aleutian Islands","chinook",NA,"Commercial","Report",14297
1978,"Alaska Peninsula and Aleutian Islands","chum",NA,"Commercial","Report",709992
1978,"Alaska Peninsula and Aleutian Islands","coho",NA,"Commercial","Report",124115
1978,"Alaska Peninsula and Aleutian Islands","pink",NA,"Commercial","Report",6113478
1978,"Alaska Peninsula and Aleutian Islands","sockeye",NA,"Commercial","Report",1477856
1978,"Bristol Bay","chinook",0,"Commercial",NA,190736
1978,"Bristol Bay","chum",0,"Commercial",NA,1154803
1978,"Bristol Bay","coho",0,"Commercial",NA,93989
1978,"Bristol Bay","pink",0,"Commercial",NA,5144120
1978,"Bristol Bay","sockeye",0,"Commercial",NA,9907692
1978,"Chignik","chinook",0,"Commercial",NA,1582
1978,"Chignik","chum",0,"Commercial",NA,120468
1978,"Chignik","coho",0,"Commercial",NA,19786
1978,"Chignik","pink",0,"Commercial",NA,979217
1978,"Chignik","sockeye",0,"Commercial",NA,1543662
1978,"Cook Inlet","chinook",0,"Commercial",NA,19040
1978,"Cook Inlet","chum",0,"Commercial",NA,643450
1978,"Cook Inlet","coho",0,"Commercial",NA,225008
1978,"Cook Inlet","pink",0,"Commercial",NA,2040311
1978,"Cook Inlet","sockeye",0,"Commercial",NA,2774042
1978,"Copper River","chinook",NA,"Commercial","Report",29393
1978,"Copper River","chum",NA,"Commercial","Report",4624
1978,"Copper River","coho",NA,"Commercial","Report",311435
1978,"Copper River","pink",NA,"Commercial","Report",3778
1978,"Copper River","sockeye",NA,"Commercial","Report",283426
1978,"Kodiak","chinook",NA,"Commercial","Report",3228
1978,"Kodiak","chum",NA,"Commercial","Report",814345
1978,"Kodiak","coho",NA,"Commercial","Report",48795
1978,"Kodiak","pink",NA,"Commercial","Report",15004065
1978,"Kodiak","sockeye",NA,"Commercial","Report",1071782
1978,"Kotzebue","chinook",0,"Commercial",NA,143
1978,"Kotzebue","chum",NA,"Commercial","Report",111494
1978,"Kotzebue","pink",0,"Commercial",NA,6967
1978,"Kuskokwim","chinook",NA,"Commercial","Report",63194
1978,"Kuskokwim","chum",NA,"Commercial","Report",282044
1978,"Kuskokwim","coho",NA,"Commercial","Report",247271
1978,"Kuskokwim","pink",NA,"Commercial","Report",61968
1978,"Kuskokwim","sockeye",NA,"Commercial","Report",13734
1978,"Norton Sound","chinook",NA,"Commercial","Report",9819
1978,"Norton Sound","chum",NA,"Commercial","Report",189279
1978,"Norton Sound","coho",NA,"Commercial","Report",7335
1978,"Norton Sound","pink",NA,"Commercial","Report",325503
1978,"Norton Sound","sockeye",NA,"Commercial","Report",12
1978,"Prince William Sound","chinook",0,"Commercial",NA,1042
1978,"Prince William Sound","chum",0,"Commercial",NA,485097
1978,"Prince William Sound","coho",0,"Commercial",NA,1461
1978,"Prince William Sound","pink",0,"Commercial",NA,2778185
1978,"Prince William Sound","sockeye",0,"Commercial",NA,222054
1978,"Southeast","chinook",0,"Commercial",NA,400475
1978,"Southeast","chum",0,"Commercial",NA,857781
1978,"Southeast","coho",0,"Commercial",NA,1702850
1978,"Southeast","pink",0,"Commercial",NA,20513810
1978,"Southeast","sockeye",0,"Commercial",NA,772011
1978,"Yukon","chinook",0,"Commercial",NA,98763
1978,"Yukon","chum",0,"Commercial",NA,1282861
1978,"Yukon","coho",0,"Commercial",NA,25951
1978,"Yukon","pink",0,"Commercial",NA,0
1979,"Alaska Peninsula and Aleutian Islands","chinook",NA,"Commercial","Report",17845
1979,"Alaska Peninsula and Aleutian Islands","chum",NA,"Commercial","Report",548883
1979,"Alaska Peninsula and Aleutian Islands","coho",NA,"Commercial","Report",469702
1979,"Alaska Peninsula and Aleutian Islands","pink",NA,"Commercial","Report",7109301
1979,"Alaska Peninsula and Aleutian Islands","sockeye",NA,"Commercial","Report",3141300
1979,"Bristol Bay","chinook",0,"Commercial",NA,207064
1979,"Bristol Bay","chum",0,"Commercial",NA,798872
1979,"Bristol Bay","coho",0,"Commercial",NA,73467
1979,"Bristol Bay","pink",0,"Commercial",NA,3427
1979,"Bristol Bay","sockeye",0,"Commercial",NA,20731664
1979,"Chignik","chinook",0,"Commercial",NA,1233
1979,"Chignik","chum",0,"Commercial",NA,179879
1979,"Chignik","coho",0,"Commercial",NA,95063
1979,"Chignik","pink",0,"Commercial",NA,1823397
1979,"Chignik","sockeye",0,"Commercial",NA,1009985
1979,"Cook Inlet","chinook",0,"Commercial",NA,14965
1979,"Cook Inlet","chum",0,"Commercial",NA,872186
1979,"Cook Inlet","coho",0,"Commercial",NA,284017
1979,"Cook Inlet","pink",0,"Commercial",NA,3052350
1979,"Cook Inlet","sockeye",0,"Commercial",NA,987640
1979,"Copper River","chinook",NA,"Commercial","Report",18063
1979,"Copper River","chum",NA,"Commercial","Report",23201
1979,"Copper River","coho",NA,"Commercial","Report",308931
1979,"Copper River","pink",NA,"Commercial","Report",8190
1979,"Copper River","sockeye",NA,"Commercial","Report",219543
1979,"Kodiak","chinook",NA,"Commercial","Report",1907
1979,"Kodiak","chum",NA,"Commercial","Report",358336
1979,"Kodiak","coho",NA,"Commercial","Report",140629
1979,"Kodiak","pink",NA,"Commercial","Report",11285809
1979,"Kodiak","sockeye",NA,"Commercial","Report",630756
1979,"Kotzebue","chinook",0,"Commercial",NA,227
1979,"Kotzebue","chum",NA,"Commercial","Report",141623
1979,"Kotzebue","pink",0,"Commercial",NA,691
1979,"Kuskokwim","chinook",NA,"Commercial","Report",53314
1979,"Kuskokwim","chum",NA,"Commercial","Report",297167
1979,"Kuskokwim","coho",NA,"Commercial","Report",308683
1979,"Kuskokwim","pink",NA,"Commercial","Report",574
1979,"Kuskokwim","sockeye",NA,"Commercial","Report",39463
1979,"Norton Sound","chinook",NA,"Commercial","Report",10706
1979,"Norton Sound","chum",NA,"Commercial","Report",140789
1979,"Norton Sound","coho",NA,"Commercial","Report",31438
1979,"Norton Sound","pink",NA,"Commercial","Report",167411
